LA,34.0522342,-118.2436849
Jiangsu,33.1401715,119.78892480000002
London,51.5073509,-0.12775829999998223
Airland,40.6033209,-89.4872861
tokyo,35.6894875,139.69170639999993
Sydney,-33.8688197,151.20929550000005
manhaton,40.7830603,-73.97124880000001
south afraic,-30.559482,22.937505999999985
north korea,40.339852,127.51009299999998
south korea,35.907757,127.76692200000002
Taiiwan,23.69781,120.96051499999999
hawaii,19.8967662,-155.58278180000002
fujian,26.4836842,117.92490020000002
jinan,36.6512,117.12009499999999
mongolia,46.862496,103.84665599999994
iceland,64.963051,-19.020835000000034
fibonacci,39.2314565,-84.54097380000002
